Baja;Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios
0;43753;10;1;36;15;29;6;1;15;434;59;1;19;0.6229;8;11;1.81918
0;43869;11;1;18;17;130;6;1;277;639;59;1;20;0.6229;8;11;1.78904
0;43878;1;6;14;26;5;13;1;387;606;10;2;24;0.48;7;9;1.78356
0;44401;1;6;14;33;5;13;1;387;618;145;1;30;0.52;7;11;1.68219
0;44444;11;1;42;15;74;6;1;131;489;59;1;21;0.6229;8;11;1.68219
0;44611;1;6;14;33;5;13;1;387;618;145;1;25;0.52;7;11;1.64384
0;44854;1;4;91;26;248;14;1;373;336;10;1;42;0.42;11;8;1.6137
0;45149;11;1;47;15;53;6;1;72;436;59;2;24;0.6229;8;11;1.57534
0;47398;1;10;56;26;160;5;1;478;367;51;1;31;0.48;11;10;1.21644
0;47449;10;1;46;15;97;6;1;195;439;59;2;22;0.6229;8;11;1.20274
0;49209;1;1;84;33;118;6;1;301;481;185;1;20;0.6015;8;11;1.11233
0;49898;1;1;34;26;136;6;1;328;613;138;1;22;0.362;8;8;0.86575
0;100001;11;4;91;26;248;14;1;362;333;4;1;27;0.75;11;12;3.1863
0;100003;1;6;14;26;10;13;1;405;381;4;1;27;0.775;7;12;3.15342
0;100007;1;4;91;26;248;14;1;352;336;4;1;23;0.6425;11;12;3.11507
0;100012;1;6;14;26;10;13;1;402;379;4;2;29;0.775;7;12;3.07397
0;100014;1;1;34;26;136;6;1;293;298;32;1;27;1.5225;8;14;3.05753
0;100017;1;4;91;26;248;14;1;347;335;32;2;27;1.25;11;14;3.07397
0;100028;1;13;63;26;186;10;1;558;413;30;1;35;0.945;4;12;3.07123
0;100029;1;16;9;26;13;16;1;598;420;84;1;29;1.1;3;13;3.03562
