Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
35805;11;1;85;15;48;6;1;60;500;59;1;23;0.6229;8;11;3.87397;0
35825;1;6;14;25;5;13;1;387;618;145;1;24;0.52;7;11;3.03014;1
35867;1;1;44;15;117;6;1;247;616;59;1;22;0.626;8;11;3.39452;1
35894;11;1;41;15;109;6;1;229;486;59;1;22;0.6229;8;11;3.84932;0
35903;11;1;45;15;98;6;1;198;464;59;1;22;0.6229;8;11;3.1726;1
35929;11;1;110;36;128;6;1;271;622;59;2;22;1.496;8;12;3.83836;0
35943;10;1;85;29;48;6;1;60;500;59;1;23;0.7825;8;11;3.83836;0
35958;1;1;85;15;48;6;1;60;500;59;2;21;0.705;8;11;3.7863;1
35967;1;1;85;33;93;6;1;303;506;185;1;24;0.6015;8;11;3.8274;1
35969;1;6;14;26;10;13;1;402;379;10;1;33;0.55;7;10;2.62192;1
35981;1;1;32;15;58;6;1;86;533;59;1;23;0.6229;8;11;3.83288;0
35995;1;1;44;15;89;6;1;172;516;59;2;22;1.174;8;11;3.83288;0
36069;1;1;7;15;62;6;1;97;480;59;1;22;0.705;8;11;3.76986;1
36138;1;1;33;15;26;6;1;6;452;59;1;20;0.6229;8;11;3.73973;1
36149;11;1;34;15;66;6;1;107;450;59;1;20;0.6229;8;11;3.79178;0
36170;1;6;13;26;6;13;1;426;385;183;1;25;0.5875;7;11;3.7589;1
36171;1;3;11;26;14;11;1;341;399;7;2;38;1.0925;12;13;3.79726;0
36174;1;3;11;26;14;11;1;342;400;32;1;26;1.2875;12;15;3.8;0
36185;1;1;44;15;117;6;1;247;616;59;1;23;0.585;8;11;3.77534;1
36204;1;6;14;26;10;13;1;426;385;183;1;40;0.491;7;11;2.99726;1
36205;1;4;91;26;248;14;1;357;349;48;1;31;0.465;11;13;2.97808;1
36253;1;3;11;26;14;11;1;344;402;44;1;27;0.91;12;13;3.76164;0
36427;1;6;14;26;10;13;1;439;378;32;1;38;1.8375;7;14;3.49041;0
36428;1;4;91;26;248;14;1;348;598;184;2;29;0.48;11;10;1.41918;1
36443;1;4;91;26;248;14;1;371;340;52;2;42;0.95;11;13;2.53151;1
36493;1;6;14;26;5;13;1;387;618;145;1;26;0.703;7;11;3.38356;0
36515;1;6;14;26;5;13;1;387;618;145;1;25;0.52;7;11;2.31507;1
36526;1;6;14;25;5;13;1;387;618;145;1;29;1.198;7;11;2.52055;1
36578;1;6;14;26;5;13;1;394;595;11;1;25;0.37;7;9;3.3589;0
36582;1;6;14;26;5;13;1;434;602;183;1;23;0.48;7;10;3.3589;0
36621;1;6;14;33;5;13;1;387;618;145;1;29;0.52;7;11;3.32603;0
36636;11;1;85;15;67;6;1;110;501;59;1;22;0.6229;8;11;3.31233;0
36759;11;1;42;15;74;6;1;131;489;59;1;21;0.585;8;11;2.3589;1
36837;10;1;41;29;52;6;1;70;479;59;1;22;0.7825;8;12;3.22192;0
37000;10;1;36;15;84;6;1;158;457;59;1;20;0.6229;8;11;3.19726;0
37064;10;1;44;15;89;6;1;172;516;59;1;21;0.705;8;11;3.17808;0
37070;1;1;47;15;71;6;1;122;455;59;1;20;0.6229;8;11;2.96164;1
37072;10;1;48;15;99;6;1;201;438;59;1;22;0.6229;8;11;3.17808;0
37105;1;6;14;26;5;13;1;414;384;32;1;28;1.485;7;14;3.17808;0
37111;10;1;37;15;87;6;1;167;442;59;1;23;0.6229;8;11;3.16164;0
37112;10;1;44;15;117;6;1;247;616;59;1;20;0.585;8;11;2.07397;1
37130;11;1;110;15;128;6;1;271;622;59;1;20;0.6229;8;11;3.1589;0
37140;1;6;14;26;5;13;1;387;618;145;1;26;0.52;7;11;2.0274;1
37219;1;4;91;26;248;14;1;371;340;10;1;36;0.405;11;8;3.14795;0
37239;11;1;44;15;117;6;1;247;616;59;1;23;0.705;8;11;3.18356;0
37266;1;1;46;33;97;6;1;302;439;185;1;20;0.6015;8;11;3.06849;1
37314;1;1;44;15;117;6;1;247;616;59;1;24;0.585;8;11;3.12055;0
37334;11;1;43;15;49;6;1;63;462;59;2;22;0.6229;8;11;3.10959;0
37339;1;6;14;33;5;13;1;387;618;145;1;27;0.52;7;11;3.11507;0
37344;11;1;41;15;52;6;1;70;479;59;1;20;0.6229;8;11;2.47397;1
37373;10;1;85;15;93;6;1;184;506;59;2;19;0.585;8;11;2.27123;1
37400;1;1;16;33;40;6;1;302;427;185;2;21;0.6015;8;11;3.08767;1
37442;11;1;44;15;79;6;1;146;526;59;2;19;0.6229;8;11;3.09041;0
37449;11;1;36;15;107;6;1;223;458;59;2;22;0.6229;8;11;3.08767;0
37455;10;1;27;15;94;6;1;186;488;59;2;22;0.6229;8;11;3.08767;0
37464;11;1;42;15;74;6;1;131;489;59;2;22;0.6229;8;11;3.08493;0
37516;1;1;35;33;65;6;1;300;519;185;2;22;0.6015;8;11;3.06849;1
37583;11;1;85;15;67;6;1;110;501;59;1;23;0.6229;8;11;3.07123;0
37613;1;1;55;33;86;6;1;303;503;185;1;22;0.6015;8;11;3.05205;1
37640;11;1;39;36;56;6;1;81;470;59;2;21;0.7825;8;12;3.06027;0
37643;10;1;39;15;56;6;1;81;470;59;1;20;0.6229;8;11;3.06027;0
37741;11;1;34;15;35;6;1;31;443;59;1;22;0.705;8;11;3.04932;0
37838;1;6;14;26;5;13;1;387;618;145;1;29;0.703;7;11;2.6274;1
37845;1;5;15;26;20;2;1;379;358;86;1;21;0.36;11;10;3.0137;0
37885;1;5;15;26;20;2;1;380;355;10;1;34;0.45;11;10;2.95616;0
37928;1;6;14;33;5;13;1;387;618;145;1;32;0.52;7;11;2.90685;0
37951;1;6;14;26;5;13;1;387;618;145;1;28;0.52;7;11;2.64658;1
37978;11;1;85;15;115;6;1;242;508;59;1;22;0.6229;8;11;2.89315;0
37992;10;1;44;15;60;6;1;91;528;59;1;21;0.6229;8;11;2.89315;0
38068;11;1;44;15;79;6;1;146;526;59;1;21;0.6229;8;11;2.87123;0
38071;1;1;41;33;52;6;1;301;479;185;2;20;0.6015;8;11;2.65479;1
38074;11;1;16;15;40;6;1;42;427;59;2;20;0.6229;8;11;2.86849;0
38098;1;6;14;33;5;13;1;387;618;145;1;21;0.52;7;11;2.86575;0
38128;11;1;42;15;74;6;1;131;489;59;1;21;0.6229;8;11;2.86575;0
38154;1;9;60;26;173;9;1;468;591;86;1;35;0.3875;11;10;2.86027;0
38183;1;6;14;33;5;13;1;387;618;145;1;27;0.52;7;11;2.01096;1
38231;11;1;36;15;29;6;1;15;434;59;1;18;0.6229;8;11;2.83836;0
38241;1;1;16;33;40;6;1;302;427;185;1;21;0.6015;8;11;2.82466;1
38299;1;1;85;15;122;6;1;257;599;59;2;21;0.6229;8;11;2.8274;0
38384;10;1;28;15;59;6;1;89;537;59;2;21;0.6229;8;11;2.8;0
38497;1;1;85;15;93;6;1;184;506;59;1;24;0.6229;8;11;2.72329;1
38498;1;1;31;33;43;6;1;300;487;185;1;21;0.6015;8;11;2.76164;1
38507;11;1;88;15;81;6;1;152;432;59;1;22;0.6229;8;11;2.7726;0
38587;10;1;29;15;28;6;1;12;494;59;2;20;0.6229;8;11;2.75068;0
38642;1;1;17;15;131;6;1;301;646;59;1;21;1.2458;8;11;2.75068;0
38664;1;1;7;33;62;6;1;301;480;185;1;23;0.6015;8;11;2.72055;1
38670;11;1;7;15;62;6;1;97;480;59;1;22;0.6229;8;11;2.6137;1
38708;11;1;39;15;56;6;1;81;470;59;2;20;0.6229;8;11;2.73699;0
38719;1;6;14;33;5;13;1;387;618;145;1;23;0.52;7;10;2.73151;0
38748;1;6;14;33;5;13;1;387;618;145;1;32;0.52;7;11;2.73151;0
38866;10;1;34;15;37;6;1;38;449;59;1;20;0.705;8;11;2.69589;0
38873;10;1;47;15;71;6;1;122;455;59;1;20;0.6229;8;11;2.68219;0
38880;10;1;111;15;132;6;1;283;650;59;2;21;0.6229;8;11;2.67945;0
38889;1;6;14;26;5;13;1;387;618;145;1;28;0.703;7;11;2.67397;0
38892;1;6;14;33;5;13;1;387;618;145;1;24;0.52;7;11;2.67397;0
38918;11;1;55;15;86;6;1;164;503;59;1;20;0.6229;8;11;2.67397;0
38949;10;1;47;15;71;6;1;122;455;59;1;20;0.6229;8;11;2.66301;0
39074;10;1;49;15;129;6;1;274;623;59;1;19;0.6229;8;11;2.63836;0
39076;1;1;47;33;110;6;1;302;437;185;2;22;0.6015;8;11;2.62466;1
39090;11;1;36;15;47;6;1;57;535;59;1;20;0.6229;8;11;2.63014;0
39100;1;4;91;26;248;14;1;367;596;51;2;27;0.43;11;10;2.63014;0
39106;11;1;41;15;109;6;1;229;486;59;1;22;0.6229;8;11;2.62192;0
39143;1;6;14;33;5;13;1;387;618;145;1;23;0.52;7;11;2.02192;1
39170;1;1;47;33;80;6;1;302;453;185;1;22;0.6015;8;11;2.59726;1
39197;11;1;32;15;30;6;1;17;527;59;2;21;0.6229;8;11;2.60274;0
39198;1;6;14;26;10;13;1;448;385;183;1;22;0.525;7;11;2.60274;0
39212;1;1;48;33;99;6;1;302;438;185;2;22;0.6015;8;11;2.59178;1
39410;1;1;59;33;124;6;1;301;609;185;2;22;0.6015;8;11;2.12329;1
39522;1;6;14;33;5;13;1;387;187;25;1;22;0.52;7;11;1.90411;1
39573;11;1;12;15;83;6;1;155;474;59;2;20;0.705;8;11;2.53151;0
39691;1;5;15;26;20;2;1;382;353;51;1;47;0.48;11;8;2.51507;0
40133;11;1;21;33;111;6;1;234;483;59;1;20;0.6229;8;11;2.50137;0
40167;11;1;85;15;93;6;1;184;506;59;1;21;0.6229;8;11;2.49315;0
40169;1;1;55;15;86;6;1;164;503;59;2;24;0.6229;8;11;2.47945;1
40192;1;1;44;33;92;6;1;301;530;185;1;21;0.6015;8;11;2.47123;1
40243;11;1;10;15;127;6;1;270;620;59;1;22;0.705;8;11;2.46849;0
40384;11;1;31;15;43;6;1;48;487;59;2;21;0.6229;8;11;2.44658;0
40427;11;1;7;15;62;6;1;97;480;59;2;22;0.6229;8;11;2.43562;0
40471;11;1;110;15;128;6;1;271;622;59;2;23;0.6229;8;11;2.43014;0
40485;11;6;14;26;5;13;1;387;618;145;1;22;0.703;7;11;2.4274;0
40498;11;1;89;15;61;6;1;93;511;59;1;26;0.6229;8;11;1.79178;1
40549;1;1;84;15;118;6;1;250;481;59;2;21;0.6229;8;11;2.3726;1
40565;1;5;15;26;20;2;1;380;355;51;1;37;0.42;11;10;2.41918;0
40661;1;6;14;26;5;13;1;434;602;183;1;23;0.435;7;10;2.43562;0
40662;10;1;46;15;97;6;1;195;439;59;1;20;0.6229;8;11;2.17534;1
40697;1;1;17;15;131;6;1;301;646;59;2;20;1.2458;8;11;2.3863;0
40771;1;4;91;26;248;14;1;375;341;10;1;33;0.4925;11;8;2.37808;0
40777;10;5;15;26;20;2;1;382;353;10;1;29;0.45;11;10;2.37808;0
40883;1;6;14;33;5;13;1;387;618;145;1;25;0.52;7;11;2.34795;0
40941;11;1;59;15;124;6;1;261;609;59;1;22;0.6229;8;11;2.1726;1
41015;11;1;42;15;74;6;1;131;489;59;2;20;0.6229;8;11;2.33425;0
41214;1;1;44;33;92;6;1;301;530;185;2;23;0.6015;8;11;2.28767;1
41217;11;1;44;15;92;6;1;181;530;59;1;21;0.6229;8;11;2.29863;0
41222;1;6;14;26;5;13;1;387;618;145;1;26;0.703;7;11;2.29863;0
41223;1;6;14;33;5;13;1;387;618;145;1;25;0.52;7;11;2.29863;0
41421;1;1;85;33;93;6;1;303;506;185;2;22;0.6015;8;11;2.25205;1
41489;1;1;85;33;48;6;1;303;500;185;2;19;0.6015;8;11;2.20822;1
41546;10;1;42;15;134;6;1;286;654;59;1;21;0.6229;8;11;2.23836;0
41549;1;6;14;33;5;13;1;387;618;145;1;22;0.52;7;11;2.23836;0
41604;1;1;33;15;45;6;1;54;448;59;1;23;0.6229;8;11;1.93699;1
41689;11;1;84;29;118;6;1;250;481;59;1;23;0.7825;8;12;2.21644;0
41789;11;1;44;15;44;6;1;51;512;59;2;20;0.6229;8;11;2.19726;0
41795;11;1;12;15;126;6;1;267;614;59;2;23;0.6229;8;11;2.1863;0
41797;1;1;12;33;126;6;1;301;614;185;2;23;0.6015;8;11;1.84384;1
41809;11;1;12;15;126;6;1;267;614;59;2;21;0.585;8;11;1.54795;1
41817;11;1;12;15;126;6;1;267;614;59;1;20;1.186;8;11;1.54795;1
41874;1;4;91;26;248;14;1;374;341;142;1;27;0.42;11;10;2.17808;0
41923;10;1;41;15;91;6;1;179;471;59;1;20;0.6229;8;11;2.15616;0
42080;11;1;12;15;126;6;1;267;614;59;2;21;0.6229;8;11;2.12603;0
42127;1;6;14;26;5;13;1;387;606;10;2;22;0.48;7;9;2.10959;1
42197;1;1;34;33;35;6;1;301;443;185;1;18;0.6015;8;11;2.08767;1
42250;1;1;34;26;136;6;1;314;302;140;2;19;0.45;8;9;2.09863;0
42276;1;5;15;26;20;2;1;380;355;10;1;27;0.9;11;10;1.41644;1
42309;11;1;46;15;97;6;1;195;439;59;1;21;0.6229;8;11;2.03288;1
42395;10;1;47;15;53;6;1;72;436;59;2;18;0.6229;8;11;1.76164;1
42517;1;10;56;26;160;5;1;478;367;51;1;31;0.48;11;10;1.99178;0
42619;11;1;10;15;125;6;1;264;610;59;1;20;0.6229;8;11;1.91507;0
43306;11;1;32;15;30;6;1;17;527;59;1;19;0.6229;8;11;1.85479;0
43318;1;6;14;33;5;13;1;387;618;145;2;24;0.52;7;11;1.85205;0
43319;1;1;110;33;128;6;1;303;622;185;1;22;0.6015;8;11;1.84658;1
43320;10;1;85;15;67;6;1;110;501;59;1;20;0.6229;8;11;1.84658;1
43639;1;1;111;33;132;6;1;303;650;185;2;22;0.6015;8;11;1.78082;1
43753;10;1;36;15;29;6;1;15;434;59;1;19;0.6229;8;11;1.79452;0
43869;1;1;18;33;130;6;1;302;639;185;1;20;0.6015;8;11;1.75342;1
43878;1;6;14;26;5;13;1;387;606;10;2;24;0.48;7;9;1.7589;0
44040;1;6;14;33;5;13;1;387;618;145;1;21;0.52;7;11;0.89041;1
44401;1;6;14;33;5;13;1;387;618;145;1;30;0.52;7;11;1.65753;0
44444;1;1;42;33;74;6;1;301;489;185;1;20;0.6015;8;11;1.64658;1
44611;1;6;14;33;5;13;1;387;618;145;1;25;0.52;7;11;1.61918;0
44854;1;4;91;26;248;14;1;373;336;10;1;42;0.42;11;8;1.58904;0
45149;1;1;47;33;53;6;1;302;436;185;2;24;0.6015;8;11;1.53973;1
47398;1;10;56;26;160;5;1;478;367;51;1;31;0.48;11;10;1.19178;0
47449;10;1;46;15;97;6;1;195;439;59;2;21;0.6229;8;11;1.17808;0
49898;1;1;34;26;136;6;1;328;613;138;1;22;0.362;8;8;0.8411;0
100001;11;4;91;26;248;14;1;362;333;4;1;27;0.75;11;12;3.16164;0
100003;1;6;14;26;10;13;1;405;381;4;1;27;0.775;7;12;3.12877;0
100006;1;3;11;26;14;11;1;344;402;8;2;29;0.52;12;11;1.12603;1
100007;1;4;91;26;248;14;1;352;336;4;1;23;0.6425;11;12;3.09041;0
100008;1;4;91;26;258;14;1;366;590;145;1;35;0.9;11;13;1.45479;1
100011;1;3;11;26;14;11;1;339;397;32;2;27;1.4775;12;13;2.3726;1
100012;1;6;14;26;10;13;1;402;379;4;2;29;0.775;7;12;3.04932;0
100014;1;1;34;26;136;6;1;293;298;32;1;27;1.6225;8;14;3.03288;0
100017;1;4;91;26;248;14;1;347;335;32;2;27;1.25;11;14;3.04932;0
100028;1;13;63;26;186;10;1;558;413;30;1;35;0.945;4;12;3.04658;0
100029;1;16;9;26;13;16;1;598;420;84;1;29;0.961;3;13;3.01096;0
100030;1;4;91;26;248;14;1;355;336;28;2;41;1.2;11;14;0.90685;1
100031;1;4;91;26;248;14;1;348;598;97;2;41;1.7125;11;15;2.96164;0
100033;1;4;91;26;248;14;1;357;350;48;1;39;0.48;11;13;2.93699;0
100034;1;4;91;26;248;14;1;357;348;91;1;31;1.85;11;15;2.93699;0
100035;1;13;62;26;187;10;1;572;626;32;2;31;1.5;4;14;2.08493;1
100041;1;16;9;26;13;16;1;602;418;90;2;34;1.85;3;15;1.62192;1
100042;1;16;9;26;13;16;1;592;417;8;2;50;1.386;3;14;2.87945;0
100046;1;4;91;26;248;14;1;361;339;59;1;36;4.8;11;19;1.60548;1
100051;1;6;14;26;10;13;1;449;385;90;1;46;2.3425;7;16;2.79452;0
100052;1;4;91;26;248;14;1;371;340;145;2;42;0.73;11;12;1.50411;1
100053;1;6;14;26;10;13;1;405;381;10;1;29;0.55;7;10;0.92603;1
100054;1;6;14;26;5;13;1;400;380;4;1;31;0.703;7;12;2.76438;0
100055;1;4;91;26;248;14;1;359;350;48;1;44;0.465;11;13;2.75616;0
100060;1;4;91;26;248;14;1;364;347;4;1;34;0.75;11;12;2.70685;0
100062;1;6;14;26;5;13;1;443;374;90;1;35;2.57;7;15;2.70685;0
100063;1;4;91;26;248;14;1;352;336;96;2;43;2.015;11;16;1.65753;1
100064;1;1;33;26;142;6;1;314;302;30;1;39;1;8;13;0.76438;1
100065;10;6;13;26;6;13;1;393;618;32;2;27;0.96;7;12;2.66849;1
100066;1;6;14;26;5;13;1;401;391;4;1;31;0.9575;7;12;2.67671;0
100068;1;6;14;26;10;13;1;424;392;4;1;26;0.92;7;12;2.67671;0
100072;1;4;91;26;248;14;1;357;348;91;2;34;1.85;11;15;1.8274;1
100078;10;1;34;26;136;6;1;325;309;32;1;32;2.43;8;14;1.07671;1
100080;1;6;13;26;6;13;1;408;384;4;1;26;0.703;7;12;2.6274;0
100081;1;5;15;26;20;2;1;382;353;4;1;30;0.66;11;12;2.6274;0
100082;1;6;14;26;10;13;1;455;644;32;2;37;1.98;7;15;2.64658;0
100085;1;6;13;26;6;13;1;405;381;4;2;29;0.775;7;12;2.60822;0
100087;1;4;91;26;248;14;1;373;336;4;2;29;0.6425;11;12;2.60548;0
100088;1;4;91;26;248;14;1;351;334;4;2;26;0.6975;11;12;2.60548;0
100090;1;4;91;26;248;14;1;359;348;91;1;34;1.85;11;15;2.59178;0
100092;1;4;91;26;248;14;1;365;337;4;1;25;0.6;11;12;1.76986;1
100096;1;6;13;26;6;13;1;413;383;4;2;34;0.775;7;12;2.56986;0
100097;1;6;14;26;10;13;1;435;594;6;1;32;2.3125;7;16;2.5726;0
100098;1;4;91;26;248;14;1;373;336;4;2;37;0.6425;11;12;2.55068;0
100099;1;5;15;26;20;2;1;377;353;45;2;50;8.03;11;20;2.55068;0
100100;1;4;91;26;248;14;1;350;345;4;2;23;0.7;11;11;2.53425;0
100102;1;6;14;26;5;13;1;394;595;10;1;42;0.5;7;9;2.55068;0
100104;1;6;14;26;5;13;1;400;380;4;1;25;0.703;7;12;2.53425;0
100105;1;13;63;26;186;10;1;558;413;32;1;31;1.22;4;14;2.53151;0
100108;1;9;60;26;173;9;1;471;365;32;2;34;1.1;11;14;0.92055;1
100109;1;6;13;26;6;13;1;405;381;10;2;32;0.55;7;10;0.58356;1
100111;1;1;34;26;136;6;1;323;304;59;1;37;3.99;8;17;2.49315;0
100113;1;5;15;26;20;2;1;382;353;129;1;29;0.6;11;12;0.64932;1
100117;10;3;11;26;14;11;1;339;397;32;2;31;1.25;12;14;0.34247;1
100118;1;5;15;26;20;2;1;382;352;59;1;38;3.105;11;18;2.46849;0
100120;11;1;59;17;124;6;1;261;609;59;1;27;1.685;8;15;2.45753;0
100121;1;1;43;15;49;6;1;63;462;59;2;29;0.6;8;11;0.32603;1
100123;1;13;62;26;187;10;1;563;409;137;1;37;1.825;4;15;2.43836;0
100124;1;13;63;26;186;10;1;559;406;140;2;24;0.4775;4;10;2.43836;0
100126;1;3;11;26;14;11;1;341;399;47;2;29;0.95;12;13;1.53151;1
100127;1;4;91;26;258;14;1;366;343;145;1;36;0.75;11;12;0.9726;1
100128;1;14;90;26;249;8;1;582;374;137;1;28;1.6;7;15;2.37808;0
100129;1;4;91;26;248;14;1;357;350;48;1;44;0.465;11;13;1.08219;1
100131;11;3;11;26;14;11;1;339;397;32;2;34;0.94;12;13;1.83014;1
100132;11;16;9;26;13;16;1;601;418;52;2;36;2.5;3;16;0.87123;1
100133;1;3;11;26;14;11;1;341;399;47;1;32;1.35;12;13;1.66301;1
100134;1;5;15;26;20;2;1;379;360;51;2;42;0.42;11;10;2.34247;0
100135;1;5;15;26;20;2;1;382;353;145;2;34;0.8575;11;13;2.34247;0
100138;1;1;34;26;138;6;1;316;300;4;1;30;1;8;13;1.31507;1
100139;1;4;91;26;248;14;1;364;347;4;1;36;0.6;11;12;2.32329;0
100141;1;1;58;16;135;6;1;287;653;59;2;29;0.882;8;12;2.32329;0
100142;1;4;91;26;248;14;1;347;335;30;2;32;0.87;11;13;0.42466;1
100144;1;10;56;26;160;5;1;478;367;145;1;37;0.45;11;12;0.6274;1
100146;1;3;11;26;14;11;1;341;399;90;1;41;1.98;12;16;2.30411;0
100147;1;16;9;26;13;16;1;599;419;88;2;31;0.5;3;25;0.46027;1
100148;1;4;91;26;248;14;1;366;343;90;1;35;1.7;11;15;1.48219;1
100149;1;3;11;26;14;11;1;342;400;130;1;33;0.96;12;13;1.0274;1
100150;1;3;11;26;14;11;1;341;399;27;2;31;1.0925;12;13;2.29863;0
100153;1;5;15;26;20;2;1;384;351;52;2;27;0.9;11;13;0.94247;1
100155;1;3;11;26;14;11;1;342;400;4;2;29;0.69;12;10;2.26575;0
100156;1;1;34;26;136;6;1;295;628;52;1;32;1.345;8;14;2.28493;0
100157;1;6;13;26;6;13;1;431;385;184;1;42;0.55;7;11;2.27397;0
100159;1;4;91;26;248;14;1;357;350;48;1;39;0.49;11;13;2.25753;0
100160;8;6;13;26;6;13;1;435;594;91;1;32;3.435;7;15;1.30959;1
100166;1;5;15;26;20;2;1;379;358;86;2;33;0.36;11;10;0.69315;1
100169;1;5;15;26;20;2;1;377;608;52;2;29;1.82;11;13;0.94795;1
100171;1;1;34;26;136;6;1;329;297;32;1;32;2.6;8;16;2.24658;0
100173;1;3;11;26;14;11;1;339;397;32;2;50;1.4;12;15;2.24658;0
100174;1;4;91;26;248;14;1;357;349;48;1;38;0.49;11;13;2.2411;0
100178;1;13;62;26;187;10;1;567;404;4;1;30;1.0275;4;12;2.2411;0
100179;1;6;14;26;10;13;1;397;637;32;1;31;2.105;7;14;2.22192;0
100180;1;6;13;26;6;13;1;448;385;184;1;26;0.8;7;12;2.2274;0
100181;1;6;13;26;6;13;1;447;634;4;1;37;0.8;7;11;2.2274;0
100182;1;3;11;26;14;11;1;340;398;32;1;28;1.375;12;15;2.21644;0
100183;1;6;14;26;10;13;1;430;601;4;1;26;1.1;7;13;1.4137;1
100184;1;4;91;26;248;14;1;357;350;48;1;31;0.5;11;13;2.21644;0
100185;1;4;91;26;248;14;1;357;349;48;2;35;0.465;11;13;0.87397;1
100186;1;1;17;17;78;6;1;144;429;59;2;31;1.125;8;13;2.2;0
100187;1;1;16;17;75;6;1;135;428;59;1;32;1.125;8;13;2.20822;0
100188;11;1;85;29;48;6;1;60;500;59;2;26;1.01;8;13;2.20822;0
100189;11;1;16;17;40;6;1;42;427;59;1;35;1.345;8;14;2.20822;0
100190;1;1;36;16;84;6;1;158;457;59;1;35;0.735;8;12;1.1589;1
100191;1;4;91;26;248;14;1;357;349;90;2;40;2;11;16;2.21644;0
100192;1;1;47;29;110;6;1;232;437;59;2;28;1.01;8;13;1.69863;1
100193;1;4;91;26;248;14;1;357;349;90;2;33;1.89;11;16;0.49041;1
100194;10;1;47;16;53;6;1;72;436;59;1;28;0.786;8;12;2.20822;0
100195;1;13;62;26;187;10;1;562;405;32;1;30;2.0175;4;14;2.20822;0
100197;1;1;85;33;67;6;1;300;501;3;1;30;0.6;8;12;0.3589;1
100198;1;16;9;26;13;16;1;602;418;90;1;31;3.455;3;16;2.18904;0
100201;11;1;32;17;58;6;1;86;533;59;1;29;1.685;8;15;2.19726;0
100202;1;1;34;26;136;6;1;309;297;32;2;35;1.8;8;14;2.20822;0
100203;8;16;9;26;13;16;1;597;420;8;2;62;1.415;3;14;0.29315;1
100204;1;5;15;26;20;2;1;377;353;52;1;41;2.1;11;15;2.18904;0
100205;10;4;91;26;248;14;1;364;347;10;2;39;0.43;11;10;0.09041;1
100206;10;4;91;26;248;14;1;364;347;10;2;39;0.43;11;10;0.1726;1
100207;8;4;91;26;248;14;1;348;598;101;2;41;0.42;11;10;0.29041;1
100209;1;1;34;26;136;6;1;325;309;32;2;33;1.8;8;14;2.15068;0
100212;8;5;15;26;20;2;1;382;353;145;1;36;0.6;11;12;0.43288;1
100213;1;6;14;26;10;13;1;402;379;4;1;26;0.703;7;12;2.15068;0
100215;1;4;91;26;248;14;1;352;336;32;1;32;1.26;11;14;1.34521;1
100216;8;5;15;26;20;2;1;382;353;145;2;27;0.6;11;12;0.30959;1
100232;8;4;91;26;248;14;1;365;337;32;2;31;1.2;11;14;0.09315;1
100234;1;4;91;26;248;14;1;373;336;4;1;29;0.6;11;12;0.32603;1
100239;1;4;91;26;248;14;1;354;357;145;1;38;0.65;11;12;0.70137;1
100240;1;6;14;26;5;13;1;394;595;145;1;30;0.6;7;11;2.12877;0
100242;11;1;7;33;62;6;1;301;480;56;1;29;0.85;8;13;0.81096;1
100243;1;6;14;26;10;13;1;402;379;4;2;27;0.775;7;12;2.09315;0
100247;1;4;91;26;248;14;1;354;597;90;2;40;1.62;11;14;2.08767;0
100249;8;4;91;26;258;14;1;366;343;145;1;28;0.7;11;12;0.06575;1
100250;1;16;9;26;13;16;1;597;420;59;2;33;3.74;3;17;1.98356;1
100252;1;6;13;26;6;13;1;426;385;184;1;31;0.6175;7;11;2.06301;0
100256;1;4;91;26;248;14;1;350;345;139;1;44;1.07;11;13;0.79178;1
100257;1;4;91;26;248;14;1;357;350;90;1;46;2.42;11;16;2.04932;0
100258;1;4;91;26;248;14;1;364;347;10;1;36;0.4;11;10;0.70137;1
100259;1;4;91;26;248;14;1;364;347;55;1;38;0.43;11;10;2.04658;0
100260;1;6;14;26;5;13;1;433;385;184;1;26;0.48;7;10;2.06301;0
100261;8;4;91;26;248;14;1;348;598;184;2;43;0.48;11;10;0.16986;1
100263;1;4;91;26;248;14;1;357;350;48;1;35;0.5125;11;13;2.05479;0
100264;8;16;9;26;13;16;1;597;420;59;2;36;4.2;3;18;0.83288;1
100274;1;5;15;26;20;2;1;379;357;145;1;34;0.8;11;12;1.20274;1
100275;1;3;11;26;14;11;1;344;402;4;1;25;0.7;12;13;1.27671;1
100276;1;13;63;26;186;10;1;558;413;30;1;29;0.945;4;12;1.99178;0
100277;1;9;60;26;173;9;1;472;334;51;2;41;0.4;11;10;0.07123;1
100278;8;5;15;26;20;2;1;380;355;10;1;37;0.45;11;10;0.31507;1
100279;1;4;91;26;248;14;1;355;336;32;2;29;1.15;11;13;1.99726;0
100280;1;4;91;26;248;14;1;347;335;30;2;27;1.81;11;13;1.97808;0
100281;1;13;62;26;187;10;1;563;409;90;1;43;2.465;4;16;2.00822;0
100282;1;4;91;26;248;14;1;357;344;90;1;37;3.605;11;16;1.15616;1
100283;8;1;34;26;136;6;1;321;311;8;2;62;1.514;8;13;0.32877;1
100284;1;16;9;26;13;16;1;600;418;52;1;30;2.6;3;16;1.36438;1
100285;1;4;91;26;248;14;1;374;341;145;1;36;0.75;11;12;0.32877;1
100286;1;16;9;26;13;16;1;599;419;32;1;30;1.605;3;14;1.90959;0
