Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
30489;1;1;34;26;136;6;1;305;295;32;1;28;1.42;8;13;5.41096;0
30493;1;13;62;26;187;10;1;569;407;90;1;34;2.5;4;16;5.41096;0
30521;1;3;11;26;14;11;1;341;399;47;1;40;1.57;12;13;5.06849;1
30532;1;1;85;15;122;6;1;257;599;59;2;24;0.705;8;11;5.36164;1
30569;1;1;35;33;65;6;1;303;519;185;2;23;0.54;8;11;3.71233;1
30603;11;1;44;15;90;6;1;176;513;59;2;24;0.705;8;11;5.36986;0
30629;1;4;91;26;248;14;1;352;336;59;1;32;2.775;11;15;5.36712;0
30655;11;1;34;26;136;6;1;299;296;45;1;32;10;8;20;5.34247;0
30657;11;1;47;15;80;6;1;149;453;59;1;23;0.585;8;11;4.11507;1
30690;11;1;57;16;77;6;1;140;476;59;2;24;0.895;8;12;5.32603;0
30700;10;1;33;36;108;6;1;226;444;59;2;24;0.899;8;12;5.32055;0
30706;11;1;40;15;100;6;1;203;469;59;1;23;0.6229;8;11;5.31233;0
30710;10;1;33;15;45;6;1;54;448;59;1;22;0.6229;8;11;5.30959;0
30722;11;1;30;15;55;6;1;78;472;59;2;22;0.705;8;11;5.30685;0
30733;1;6;14;26;10;13;1;418;387;4;1;35;1.535;7;13;5.28767;0
30765;10;1;36;15;121;6;1;256;459;59;1;24;0.705;8;11;5.29041;0
30772;1;6;14;26;5;13;1;387;618;145;1;24;0.703;7;11;5.03288;1
30773;11;3;11;26;14;11;1;341;399;32;1;39;1.34;12;15;5.27671;0
30789;1;4;91;26;248;14;1;374;341;51;1;39;0.42;11;10;5.29589;0
30843;1;4;91;26;248;14;1;357;348;91;2;37;1.85;11;15;5.29589;0
30874;11;1;89;15;61;6;1;93;511;59;1;25;0.705;8;11;5.25205;0
30882;1;6;14;26;5;13;1;394;595;126;1;38;0.685;7;10;3.80548;1
30906;11;1;87;15;116;6;1;244;509;59;1;24;0.6229;8;11;5.23836;0
30914;10;1;55;15;86;6;1;164;503;59;2;24;0.614;8;11;5.23836;0
30915;11;1;87;16;116;6;1;244;509;59;2;25;0.895;8;12;5.23836;0
30917;11;1;87;36;116;6;1;244;509;59;1;24;0.7825;8;12;5.23836;0
